# Trim_Forces           
# Time                  	total_x                 	total_y                 	total_z                 
1.0000000149011612e-01	+1.287331778293453e-01	-5.316907403133085e-01	+8.858568464037545e-18
2.000000029802322e-01	-3.709112914741378e-02	+6.305070142768703e-02	+1.094957833795672e-18
3.000000119209290e-01	+1.338447200326198e-02	-9.463576867535523e-04	+1.530350261995455e-18
4.000000059604645e-01	+6.878021046459897e-03	+1.561890644711045e-02	+1.187885481143610e-18
5.000000000000000e-01	+1.031694768959013e-02	-1.344671867596688e-02	+1.141045438669569e-18
6.000000238418579e-01	+1.255582030351354e-02	-1.829661413087132e-02	+1.127682086330953e-18
6.999999880790710e-01	+1.291010193715810e-02	-1.553525610869147e-02	+1.085201158413388e-18
8.000000119209290e-01	+1.336058366813011e-02	-1.531324423683448e-02	+1.048075222682059e-18
8.999999761581421e-01	+1.445963258158527e-02	-1.733307469885052e-02	+1.051228259745248e-18
1.000000000000000e+00	+1.506724315581060e-02	-1.986850690467352e-02	+1.032826517275667e-18
1.100000023841858e+00	+1.522030808744689e-02	-1.705433887392114e-02	+1.009710847074883e-18
1.200000047683716e+00	+1.534823771493112e-02	-1.896543930448855e-02	+9.979057878637941e-19
1.299999952316284e+00	+1.531385053226005e-02	-1.949726265202324e-02	+9.893006332982036e-19
1.399999976158142e+00	+1.545446668739442e-02	-2.273796477315022e-02	+9.899595110815479e-19
1.500000000000000e+00	+1.538088122319128e-02	-2.727496932154384e-02	+9.941372053082035e-19
1.600000023841858e+00	+1.555493106517932e-02	-2.880681464431722e-02	+1.008236108948359e-18
1.700000047683716e+00	+1.566900725770767e-02	-2.558664688391059e-02	+1.028957765315897e-18
1.799999952316284e+00	+1.577885338880114e-02	-2.395266390658691e-02	+1.044734371045165e-18
1.899999976158142e+00	+1.592853726196143e-02	-2.524286773159643e-02	+1.055310575445004e-18
2.000000000000000e+00	+1.606443285444037e-02	-2.397911746557429e-02	+1.058151207251308e-18
2.099999904632568e+00	+1.602411572425640e-02	-2.370530199646686e-02	+1.055615714285453e-18
2.200000047683716e+00	+1.627860023582380e-02	-2.188865124192417e-02	+1.052606817591112e-18
2.299999952316284e+00	+1.632818307076305e-02	-2.079455422979053e-02	+1.055864710566941e-18
2.400000095367432e+00	+1.655045055837787e-02	-1.884520525262433e-02	+1.059490452938607e-18
2.500000000000000e+00	+1.651863242180137e-02	-1.967400731386361e-02	+1.061697543148615e-18
2.599999904632568e+00	+1.663150098360944e-02	-2.149914061168909e-02	+1.065630035464588e-18
2.700000047683716e+00	+1.669837207820130e-02	-2.039966177758944e-02	+1.067187698652010e-18
2.799999952316284e+00	+1.668626404693326e-02	-1.929623842660533e-02	+1.068484223620012e-18
2.900000095367432e+00	+1.655932184645114e-02	-1.985983610525363e-02	+1.068556641893660e-18
3.000000000000000e+00	+1.668407990149181e-02	-2.214969930011421e-02	+1.070762425105992e-18
3.099999904632568e+00	+1.666157934390905e-02	-2.130052000260771e-02	+1.072350282763690e-18
3.200000047683716e+00	-2.004787837201964e-03	-1.080300748350424e-01	+1.471894837641780e-18
3.299999952316284e+00	+5.435150931096551e-02	+5.932752339937305e-01	+2.410422767285199e-18
3.400000095367432e+00	+3.756016744795852e-02	+4.787783071021777e-01	+2.408097914127046e-18
3.500000000000000e+00	+3.650891107031687e-02	+5.171645569379082e-01	+2.438987843775909e-18
3.599999904632568e+00	+3.242163898853485e-02	+5.018261872426411e-01	+2.362499180927573e-18
3.700000047683716e+00	+3.134747877764406e-02	+4.985506961481668e-01	+2.294966360120711e-18
3.799999952316284e+00	+3.066417906558548e-02	+4.937434431210412e-01	+2.244489773001330e-18
3.900000095367432e+00	+3.023313492887596e-02	+4.887094029836753e-01	+2.223494929318309e-18
4.000000000000000e+00	+3.019324461261449e-02	+4.856273992782431e-01	+2.242765317791580e-18
4.099999904632568e+00	+3.068817432978589e-02	+4.835215975379567e-01	+2.283145027612089e-18
4.199999809265137e+00	+3.082524621951529e-02	+4.812417793123067e-01	+2.285590715997879e-18
4.300000190734863e+00	+3.079212049180974e-02	+4.800855102397442e-01	+2.278423982181523e-18
4.400000095367432e+00	+3.084669762663657e-02	+4.783645147231979e-01	+2.264937047016557e-18
