# MyForce               
# CofR                  : (4.9746127460000000e-01 -1.6718957440000001e-02 1.2500000000000000e-01)
#
# Time                  	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.01                    	(1.6389350056679075e-01 -1.7714084550504676e+01 3.4756906050189457e-17)	(1.6368151332515934e-01 -1.7714093832938097e+01 3.5004215012554852e-17)	(2.1198724163139584e-04 9.2824334195655915e-06 -2.4730896236539319e-19)
0.02                    	(1.6271224742106037e-03 2.1704949720474569e+00 -8.6718828761389826e-19)	(1.4129377528854714e-03 2.1704805311611897e+00 -9.2513532084380759e-19)	(2.1418472132513230e-04 1.4440886267017973e-05 5.7947033229909358e-20)
0.03                    	(-8.5841576970281533e-04 2.9173854314353881e-01 -2.9946805923313528e-19)	(-1.0633482748209299e-03 2.9172758209196192e-01 -3.0334077258482877e-19)	(2.0493250511811461e-04 1.0961051576889202e-05 3.8727133516934774e-21)
0.04                    	(3.9451697507564163e-03 5.8274763250950871e-02 -1.1506477279029044e-19)	(3.7455614535316572e-03 5.8265059510270154e-02 4.9936410681179461e-21)	(1.9960829722475942e-04 9.7037406807184425e-06 -1.2005841385840840e-19)
0.05                    	(5.7362806129525280e-03 5.0156200918725434e-02 -2.3077492624945053e-19)	(5.5396108561803804e-03 5.0147091307216424e-02 -2.1828119011409116e-19)	(1.9666975677214745e-04 9.1096115090118323e-06 -1.2493736135359385e-20)
0.06                    	(6.6576425860643265e-03 3.9242092747586124e-02 1.0260021652173237e-19)	(6.4633752932379733e-03 3.9233676340757306e-02 1.1859684511294939e-19)	(1.9426729282635309e-04 8.4164068288194140e-06 -1.5996628591217007e-20)
0.07                    	(7.1237794724618372e-03 3.6140204830530306e-02 -9.9881687137446796e-20)	(6.9320597259301571e-03 3.6132516536288815e-02 -7.5473476423765708e-20)	(1.9171974653168044e-04 7.6882942414934021e-06 -2.4408210713681082e-20)
0.08                    	(7.7017647469872089e-03 3.3937943988608582e-02 -2.8425157558231562e-19)	(7.5126597321237996e-03 3.3930595748435217e-02 -2.6705513301365921e-19)	(1.8910501486340967e-04 7.3482401733613961e-06 -1.7196442568656432e-20)
0.09                    	(8.3473764747010147e-03 3.2416721431400987e-02 2.2220704383057532e-19)	(8.1606857493382746e-03 3.2409504523945878e-02 2.4777745957891407e-19)	(1.8669072536274038e-04 7.2169074551060552e-06 -2.5570415748338766e-20)
0.1                     	(9.0394501719428810e-03 2.7168912134735681e-02 -6.4022546957526508e-20)	(8.8549870652217741e-03 2.7161899459843413e-02 -1.6262603131731174e-19)	(1.8446310672110672e-04 7.0126748922674428e-06 9.8603484359785233e-20)
0.11                    	(9.6017736019221710e-03 1.7187769735816039e-02 -3.8784709625356491e-19)	(9.4187631946861597e-03 1.7180853078870892e-02 -2.6979167139227726e-19)	(1.8301040723601205e-04 6.9166569451470248e-06 -1.1805542486128767e-19)
0.12                    	(9.6204695194641674e-03 2.1156986187791500e-02 -1.7625852817990084e-19)	(9.4384218265825444e-03 2.1150211218744015e-02 -1.5180050575645068e-19)	(1.8204769288162218e-04 6.7749690474839993e-06 -2.4458022423450158e-20)
0.13                    	(9.8152264664091056e-03 2.4331759491236508e-02 -3.0591316136754751e-19)	(9.6347714721218471e-03 2.4325122215976044e-02 -2.5386623574851252e-19)	(1.8045499428725784e-04 6.6372752604625160e-06 -5.2046925619035014e-20)
0.14                    	(9.9436713167524761e-03 2.4274011920219551e-02 -3.1384484055283047e-19)	(9.7646534610857719e-03 2.4267394256850958e-02 -2.9870674961618727e-19)	(1.7901785566670390e-04 6.6176633685929682e-06 -1.5138090936643215e-20)
0.15                    	(9.9656068452663969e-03 2.5183397176375962e-02 1.6407184632795476e-19)	(9.7876428542623874e-03 2.5176664652875796e-02 8.2319502468977021e-20)	(1.7796399100400862e-04 6.7325235001641792e-06 8.1752343858977740e-20)
0.16                    	(9.9655660842550686e-03 2.9001265827634241e-02 -7.4921942808442245e-20)	(9.7885169301505232e-03 2.8994378993352832e-02 5.7286684698253112e-20)	(1.7704915410454556e-04 6.8868342814073949e-06 -1.3220862750669536e-19)
0.17                    	(9.8662637659223916e-03 3.3058812929126768e-02 1.2509552759533348e-19)	(9.6899784491187389e-03 3.3051819226402088e-02 1.3527068608992233e-19)	(1.7628531680365252e-04 6.9937027246833614e-06 -1.0175158494588839e-20)
0.18                    	(9.6472589509818372e-03 3.8082529223231791e-02 -3.1465890688448874e-19)	(9.4716553069722712e-03 3.8075385868236458e-02 -2.8520816829555353e-19)	(1.7560364400956647e-04 7.1433549953351476e-06 -2.9450738588935235e-20)
0.19                    	(9.6586482411698329e-03 3.9277172237218529e-02 6.9339655133630600e-20)	(9.4836156444202731e-03 3.9269893048476834e-02 -1.6972524547458993e-20)	(1.7503259674956067e-04 7.2791887416924734e-06 8.6312179681089591e-20)
0.2                     	(9.6349073116568703e-03 3.9826609134611154e-02 -1.7192683672394110e-19)	(9.4603605011125830e-03 3.9819252142458336e-02 -4.4535914142000958e-20)	(1.7454681054428748e-04 7.3569921528215876e-06 -1.2739092258194015e-19)
0.21                    	(9.7314754836513532e-03 3.9097403457154900e-02 -3.0092767847419098e-19)	(9.5572981182557581e-03 3.9089999469424375e-02 -2.8177193002372811e-19)	(1.7417736539559537e-04 7.4039877305240643e-06 -1.9155748450462861e-20)
0.22                    	(9.8206930972469068e-03 4.1166022795787245e-02 1.4197058717539830e-19)	(9.6468569587010566e-03 4.1158590116052635e-02 6.1952032895812636e-20)	(1.7383613854585035e-04 7.4326797346089010e-06 8.0018554279585656e-20)
0.23                    	(9.6616294273780667e-03 4.3216303203962102e-02 -3.6632076197464431e-19)	(9.4881148159578748e-03 4.3208876162514093e-02 -2.5089372800148258e-19)	(1.7351461142019197e-04 7.4270414480120022e-06 -1.1542703397316174e-19)
0.24                    	(9.5589258898197763e-03 4.5236253617282569e-02 2.5076757177472750e-19)	(9.3856424664488913e-03 4.5228841941228365e-02 2.8364407090249020e-19)	(1.7328342337088418e-04 7.4116760542012951e-06 -3.2876499127762685e-20)
0.25                    	(9.4927551538084628e-03 4.7682583242299133e-02 -1.9228557742432751e-19)	(9.3196563189012240e-03 4.7675238447535767e-02 -1.7130686396749411e-19)	(1.7309883490723943e-04 7.3447947633627962e-06 -2.0978713456833403e-20)
0.26                    	(9.3536790155610994e-03 4.9323772220665800e-02 -1.0781332323609464e-19)	(9.1807192478790267e-03 4.9316538021490622e-02 -1.1900639626955172e-19)	(1.7295976768207311e-04 7.2341991751754487e-06 1.1193073033457090e-20)
0.27                    	(9.3005293523693248e-03 4.9325867669720927e-02 -4.6961535331537276e-20)	(9.1276628331448152e-03 4.9318773384482748e-02 -1.8330119929059916e-20)	(1.7286651922450959e-04 7.0942852381762981e-06 -2.8631415402477360e-20)
0.28                    	(9.1597450801409845e-03 5.0857636480197782e-02 -5.6407434899172166e-20)	(8.9869685709066081e-03 5.0850719913427329e-02 -1.4749861333732771e-19)	(1.7277650923437692e-04 6.9165667704548443e-06 9.1091178438155540e-20)
0.29                    	(9.0605590559501379e-03 5.2036354247842205e-02 -1.8769789074772672e-19)	(8.8878835232025881e-03 5.2029626276260552e-02 -1.6975756976209323e-19)	(1.7267553274755029e-04 6.7279715816553756e-06 -1.7940320985633494e-20)
0.3                     	(8.9160941222162261e-03 5.3099933634809145e-02 -7.2731259905976434e-20)	(8.7435046272219610e-03 5.3093369776245215e-02 -3.7087632310671929e-20)	(1.7258949499426575e-04 6.5638585639288738e-06 -3.5643627595304499e-20)
0.31                    	(8.7889888084197679e-03 5.4690865598979635e-02 -4.8206858907816647e-19)	(8.6164668058054134e-03 5.4684427879130929e-02 -3.3782902809893982e-19)	(1.7252200261435460e-04 6.4377198487079072e-06 -1.4423956097922663e-19)
0.32                    	(8.5897180812472412e-03 5.7314806345642601e-02 -2.2570689226045047e-19)	(8.4173192654473303e-03 5.7308450561680047e-02 -1.9900051322717807e-19)	(1.7239881579991066e-04 6.3557839625572412e-06 -2.6706379033272391e-20)
0.33                    	(8.3421975435739662e-03 6.1030574306610061e-02 -1.2489411003678445e-19)	(8.1699432173512419e-03 6.1024254281677057e-02 -2.2235381069402938e-19)	(1.7225432622272474e-04 6.3200249330019484e-06 9.7459700657244937e-20)
0.34                    	(8.1043249729866058e-03 6.3238851570316973e-02 -7.9177416043477337e-20)	(7.9321978193482318e-03 6.3232539912471186e-02 6.3432138680557491e-20)	(1.7212715363837427e-04 6.3116578457801634e-06 -1.4260955472403483e-19)
