# Moment                
# CofR                  : (4.9746127460000000e-01 -1.6718957440000001e-02 1.2500000000000000e-01)
#
# Time                  	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.01                    	(-7.1944194637989707e+00 -6.6563902137086323e-02 6.7045939587333390e+00)	(-7.1944232337775702e+00 -6.6477805385491751e-02 6.7046073364967063e+00)	(3.7699785995002508e-06 -8.6096751594567748e-05 -1.3377763367609912e-05)
0.02                    	(8.8152742121416272e-01 -6.6084146573140907e-04 -8.2374555994824639e-01)	(8.8152155617536054e-01 -5.7385222710851962e-04 -8.2373020687015297e-01)	(5.8650388021875777e-06 -8.6989238622889409e-05 -1.5353078093374439e-05)
0.03                    	(1.1848704047607328e-01 3.4863800632621171e-04 -1.2593814381239665e-01)	(1.1848258874148979e-01 4.3186953880440808e-04 -1.2592394367463644e-01)	(4.4517345834972539e-06 -8.3231532478196386e-05 -1.4200137760214841e-05)
0.04                    	(2.3667781972338695e-02 -1.6022959561872640e-03 -3.5613991175876450e-02)	(2.3663840883504778e-02 -1.5212268038641390e-03 -3.5600401741947688e-02)	(3.9410888339149107e-06 -8.1069152323125053e-05 -1.3589433928765012e-05)
0.05                    	(2.0370499366822184e-02 -2.3297398617453560e-03 -3.1139203571680398e-02)	(2.0366799578319921e-02 -2.2498641717525678e-03 -3.1126011315452659e-02)	(3.6997885022635638e-06 -7.9875689992788047e-05 -1.3192256227740665e-05)
0.06                    	(1.5937830434223296e-02 -2.7039429143310440e-03 -2.6550840631929130e-02)	(1.5934412184698075e-02 -2.6250429639156198e-03 -2.6538060454904911e-02)	(3.4182495252222247e-06 -7.8899950415424100e-05 -1.2780177024218094e-05)
0.07                    	(1.4678025969512563e-02 -2.8932603063041617e-03 -2.4830986967362134e-02)	(1.4674903436503493e-02 -2.8153950193846164e-03 -2.4818643293307213e-02)	(3.1225330090703321e-06 -7.7865286919545076e-05 -1.2343674054920170e-05)
0.08                    	(1.3783597119954392e-02 -3.1280039362658980e-03 -2.3502243920017356e-02)	(1.3780612696910843e-02 -3.0512005995901371e-03 -2.3490156170694838e-02)	(2.9844230435489570e-06 -7.6803336675761071e-05 -1.2087749322517670e-05)
0.09                    	(1.3165765973041834e-02 -3.3902134547244014e-03 -2.2482833872896468e-02)	(1.3162834889625391e-02 -3.3143906604709899e-03 -2.2470914291653776e-02)	(2.9310834164428591e-06 -7.5822794253411298e-05 -1.1919581242693291e-05)
0.1                     	(1.1034414435309770e-02 -3.6712930929989297e-03 -2.0015090720121986e-02)	(1.1031566299150412e-02 -3.5963750264421486e-03 -2.0003379174205436e-02)	(2.8481361593583427e-06 -7.4918066556781086e-05 -1.1711545916547775e-05)
0.11                    	(6.9806613361302295e-03 -3.8996758027042399e-03 -1.6112617392125363e-02)	(6.9778521968146354e-03 -3.8253477372519932e-03 -1.6101023515072078e-02)	(2.8091393155943972e-06 -7.4328065452246606e-05 -1.1593877053283231e-05)
0.12                    	(8.5927236482811475e-03 -3.9072689849922772e-03 -1.7305777630279406e-02)	(8.5899720542575962e-03 -3.8333319174981557e-03 -1.7294297392548993e-02)	(2.7515940235514888e-06 -7.3937067494121546e-05 -1.1480237730414026e-05)
0.13                    	(9.8821298709020761e-03 -3.9863678041164499e-03 -1.8167230287715889e-02)	(9.8794341999977001e-03 -3.9130775971323696e-03 -1.8155868164324594e-02)	(2.6956709043766228e-06 -7.3290206984079952e-05 -1.1362123391295752e-05)
0.14                    	(9.8586762034135328e-03 -4.0385345490984150e-03 -1.8031768954567016e-02)	(9.8559884977063514e-03 -3.9658280233107529e-03 -1.8020464967912445e-02)	(2.6877057071808040e-06 -7.2706525787661800e-05 -1.1303986654571197e-05)
0.15                    	(1.0228015017865400e-02 -4.0474434708572182e-03 -1.8339212827345418e-02)	(1.0225280662727151e-02 -3.9751649629228012e-03 -1.8327888136878877e-02)	(2.7343551382498757e-06 -7.2278507934416927e-05 -1.1324690466540104e-05)
0.16                    	(1.1778608753405511e-02 -4.0474269161313754e-03 -1.9717656439969269e-02)	(1.1775811726302200e-02 -3.9755199611483365e-03 -1.9706285651589394e-02)	(2.7970271033116237e-06 -7.1906954983039044e-05 -1.1370788379876459e-05)
