# Force_Array           
# Time                  	total_x                 	total_y                 	total_z                 
1.00000e-01	+2.127472357788951e-01	+2.042845189844256e-01	-1.228269733508873e-17
2.00000e-01	+4.752165957552983e-02	+8.605478328595980e-01	+1.712795798299784e-18
3.00000e-01	+5.339570663860090e-02	+7.587529090162254e-01	+7.275005644410612e-20
4.00000e-01	+3.363330460666634e-02	+6.803502305370319e-01	+3.993972905924135e-19
5.00000e-01	+3.641828478469079e-02	+7.027501099690582e-01	+1.764879279841828e-19
6.00000e-01	+3.534137943052003e-02	+7.033525999300331e-01	+9.276536758748152e-20
7.00000e-01	+3.658461111018828e-02	+7.152289372917768e-01	+9.621557660196593e-20
8.00000e-01	+3.563798013034315e-02	+7.162232364962721e-01	+1.041647666232101e-19
9.00000e-01	+3.597270513496387e-02	+7.184644898990264e-01	+7.806939912020635e-20
1.00000e+00	+3.537751191957728e-02	+7.178466864393335e-01	+6.842481428473490e-20
1.10000e+00	+3.537487775429823e-02	+7.180226195166765e-01	+5.603094355577130e-20
1.20000e+00	+3.545527550442713e-02	+7.169701430264377e-01	+5.524355378661776e-20
1.30000e+00	+3.558039172472938e-02	+7.164127064828871e-01	+6.311604590862338e-20
1.40000e+00	+3.580761577380919e-02	+7.161244325954210e-01	+7.181275426532628e-20
1.50000e+00	+3.586188690955884e-02	+7.146953775163654e-01	+7.406587640418796e-20
1.60000e+00	+3.568679037983591e-02	+7.111306213547016e-01	+7.676159703779694e-20
1.70000e+00	+3.553275240244439e-02	+7.071742863961553e-01	+8.432660509140807e-20
1.80000e+00	+3.559164801895254e-02	+7.039677298396076e-01	+8.993921328090064e-20
1.90000e+00	+3.534223869270636e-02	+6.990226849732956e-01	+1.039499137146336e-19
2.00000e+00	+3.525867695793527e-02	+6.947084289390059e-01	+1.149016191067096e-19
2.10000e+00	+3.525386408702968e-02	+6.908742758735325e-01	+1.235319473767393e-19
2.20000e+00	+3.538580394901321e-02	+6.879039387354479e-01	+1.301839300894473e-19
