# Force_Cycle           
# Time                  	total_x                 	total_y                 	total_z                 
5.90000e+01	+3.230285992936882e-02	+4.837150579941196e-01	+1.138312561533805e-18
5.91000e+01	+3.209177081884898e-02	+4.809549164356062e-01	+1.139016337378674e-18
5.92000e+01	+3.203239260732628e-02	+4.816515069274868e-01	+1.137139059403556e-18
5.93000e+01	+3.187051560497081e-02	+4.810691772692500e-01	+1.139070417775389e-18
5.94000e+01	+3.205997187720590e-02	+4.802571255206776e-01	+1.136953831592430e-18
5.95000e+01	+3.213499945760626e-02	+4.797553576923847e-01	+1.136497247480688e-18
5.96000e+01	+3.216045929187741e-02	+4.800751935632484e-01	+1.138880647356157e-18
5.97000e+01	+3.235793427451954e-02	+4.807203771362428e-01	+1.136435816445438e-18
5.98000e+01	+3.235034923931543e-02	+4.809958021282344e-01	+1.136863839917428e-18
5.99000e+01	+3.251668116345279e-02	+4.831184846076120e-01	+1.137850645473196e-18
6.00000e+01	+3.254658375425794e-02	+4.837917436502150e-01	+1.137486900752197e-18
