# MyForce               
# CofR                  : (4.9746127460000000e-01 -1.6718957440000001e-02 1.2500000000000000e-01)
#
# Time                  	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.1                     	(1.3046191129958654e-01 -2.9589810464780392e-01 2.9116708520461782e-18)	(1.2974816106791548e-01 -2.9583499791191326e-01 2.9868705356629506e-18)	(7.1375023167104300e-04 -6.3106735890682743e-05 -7.5199683616772250e-20)
0.2                     	(-2.9591630655809387e-02 2.6761914780605389e-01 1.2533504657144768e-18)	(-3.0192714357186505e-02 2.6760713886846860e-01 1.2557692693687164e-18)	(6.0108370137711945e-04 1.2008937585315808e-05 -2.4188036542395860e-21)
0.3                     	(1.9564900380706796e-02 1.2681051132504070e-01 3.1596473775480280e-19)	(1.8991163434402079e-02 1.2680909170758270e-01 3.1939312447576432e-19)	(5.7373694630471616e-04 1.4196174579966597e-06 -3.4283867209615239e-21)
0.4                     	(7.3223818939830094e-03 1.6276547698390187e-01 6.2713974666992053e-19)	(6.7881975775997971e-03 1.6276228202091700e-01 6.2928452193387673e-19)	(5.3418431638321210e-04 3.1949629848579286e-06 -2.1447752639562104e-21)
0.5                     	(1.1476305752982375e-02 1.5873571273820761e-01 4.5148540609336480e-19)	(1.0966764822540142e-02 1.5873224660024113e-01 4.5393920190886441e-19)	(5.0954093044223352e-04 3.4661379664900370e-06 -2.4537958154996244e-21)
0.6                     	(1.4782580644338090e-02 1.5550188971312240e-01 4.3396166493181163e-19)	(1.4293969462253571e-02 1.5550082404592319e-01 4.3611425130369425e-19)	(4.8861118208451859e-04 1.0656671991949751e-06 -2.1525863718825733e-21)
0.7                     	(1.5090079727341792e-02 1.5722845844033295e-01 4.0403692850787565e-19)	(1.4624048486467207e-02 1.5722691834925243e-01 4.0599312518884435e-19)	(4.6603124087458454e-04 1.5400910805327275e-06 -1.9561966809686777e-21)
0.8                     	(1.6660256193086351e-02 1.6069992606594788e-01 3.8615759647808599e-19)	(1.6211486035819917e-02 1.6069899211950378e-01 3.8824578050504108e-19)	(4.4877015726643395e-04 9.3394644408678105e-07 -2.0881840269550840e-21)
0.9                     	(1.6523193322176208e-02 1.6137617873818105e-01 3.7415587350021356e-19)	(1.6090234885263777e-02 1.6137509281752796e-01 3.7608471333885673e-19)	(4.3295843691242908e-04 1.0859206531042836e-06 -1.9288398386431678e-21)
1                       	(1.7846516760375061e-02 1.5992619679226805e-01 3.3684512720377219e-19)	(1.7426599126888195e-02 1.5992680939609188e-01 3.3882064974237801e-19)	(4.1991763348686432e-04 -6.1260382383152871e-07 -1.9755225386058379e-21)
1.1                     	(1.7872729291660741e-02 1.6385801704046887e-01 3.4617014600451479e-19)	(1.7465544360507880e-02 1.6385934515446102e-01 3.4816997165099055e-19)	(4.0718493115285984e-04 -1.3281139921405134e-06 -1.9998256464757719e-21)
1.2                     	(1.7979116146285709e-02 1.6026552468149283e-01 3.4325270907094898e-19)	(1.7580063863759571e-02 1.6026820913890327e-01 3.4539138294088792e-19)	(3.9905228252613660e-04 -2.6844574104593000e-06 -2.1386738699389633e-21)
1.3                     	(1.7758678769719767e-02 1.5855622925534746e-01 3.5699681257950761e-19)	(1.7362442232118844e-02 1.5856055320767784e-01 3.5919294676581870e-19)	(3.9623653760092391e-04 -4.3239523303718128e-06 -2.1961341863110692e-21)
1.4                     	(1.8157891961487579e-02 1.5715765491641256e-01 3.6615485857780703e-19)	(1.7761904544049585e-02 1.5716264702571070e-01 3.6844206393218802e-19)	(3.9598741743799383e-04 -4.9921092981438648e-06 -2.2872053543809978e-21)
1.5                     	(1.8184269874929819e-02 1.6146574571721942e-01 3.6495371197677921e-19)	(1.7788731381000129e-02 1.6147103705680216e-01 3.6726693189648629e-19)	(3.9553849392968878e-04 -5.2913395827336663e-06 -2.3132199197070992e-21)
1.6                     	(1.8449627049225821e-02 1.5685458366558352e-01 3.6617647320833802e-19)	(1.8055907687341808e-02 1.5685926445621115e-01 3.6857983944902844e-19)	(3.9371936188401381e-04 -4.6807906276132859e-06 -2.4033662406904319e-21)
