# Moment                
# CofR                  : (4.9746127460000000e-01 -1.6718957440000001e-02 1.2500000000000000e-01)
#
# Time                  	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.1                     	(-1.2017640975518097e-01 -5.2985956528666292e-02 1.0008254570112340e-01)	(-1.2015077951006758e-01 -5.2696073156799986e-02 1.0006480338060020e-01)	(-2.5630245113389970e-05 -2.8988337186630853e-04 1.7742320523209811e-05)
0.2                     	(1.0869116043630458e-01 1.2018380230077423e-02 -1.0230688519610524e-01)	(1.0868628311204563e-01 1.2262505082718294e-02 -1.0229344425009834e-01)	(4.8773242589542449e-06 -2.4412485264087066e-04 -1.3440946006906347e-05)
0.3                     	(5.1502972580379849e-02 -7.9461120163974060e-03 -6.6159862674900871e-02)	(5.1502396015249328e-02 -7.7130938075350326e-03 -6.6149966420446835e-02)	(5.7656513052315640e-07 -2.3301820886237307e-04 -9.8962544540429172e-06)
0.4                     	(6.6105765291390395e-02 -2.9739209310672273e-03 -7.7475349955634307e-02)	(6.6104467685306437e-02 -2.7569666745779165e-03 -7.7464709625290062e-02)	(1.2976060839522321e-06 -2.1695425648931080e-04 -1.0640330344238463e-05)
0.5                     	(6.4469112025957204e-02 -4.6610005301917909e-03 -7.4988928243654718e-02)	(6.4467704284542210e-02 -4.4540549679120056e-03 -7.4978625243409730e-02)	(1.4077414149870951e-06 -2.0694556227978495e-04 -1.0303000244982148e-05)
0.6                     	(6.3155723278837742e-02 -6.0038149648424218e-03 -7.4321043144231935e-02)	(6.3155290467488218e-02 -5.8053698355671115e-03 -7.4312147036255730e-02)	(4.3281134952029030e-07 -1.9844512927531067e-04 -8.8961079762059378e-06)
0.7                     	(6.3856953964579105e-02 -6.1287030098076990e-03 -7.4496839450114746e-02)	(6.3856328470147591e-02 -5.9394285248334823e-03 -7.4487868661429035e-02)	(6.2549443151958950e-07 -1.8927448497421651e-04 -8.9707886857099806e-06)
0.8                     	(6.5266859973690972e-02 -6.7664163556226745e-03 -7.6090663658187979e-02)	(6.5266480659566306e-02 -6.5841523077682920e-03 -7.6082064163864593e-02)	(3.7931412466315385e-07 -1.8226404785438226e-04 -8.5994943233834453e-06)
0.9                     	(6.5541514041965759e-02 -6.7107494774710716e-03 -7.6672108825956611e-02)	(6.5541073004854275e-02 -6.5349072206128131e-03 -7.6663422799619574e-02)	(4.4103711148946364e-07 -1.7584225685825889e-04 -8.6860263370444020e-06)
1                       	(6.4952616642041369e-02 -7.2482056397432564e-03 -7.6141365597013511e-02)	(6.4952865445690303e-02 -7.0776597903691642e-03 -7.6133423432028946e-02)	(-2.4880364893853088e-07 -1.7054584937409192e-04 -7.9421649845577127e-06)
1.1                     	(6.6549490815311002e-02 -7.2588516285178664e-03 -7.7977617823196038e-02)	(6.6550030217114572e-02 -7.0934770540825014e-03 -7.7969945600931512e-02)	(-5.3940180357371506e-07 -1.6537457443536465e-04 -7.6722222645246906e-06)
1.2                     	(6.5090431676393709e-02 -7.3020597127642735e-03 -7.6478316340219732e-02)	(6.5091521945133735e-02 -7.1399881419589029e-03 -7.6471268163299189e-02)	(-1.0902687400234595e-06 -1.6207157080537081e-04 -7.0481769205422043e-06)
1.3                     	(6.4396216389784891e-02 -7.2125310132713297e-03 -7.6155830495848092e-02)	(6.4397972524950525e-02 -7.0516030324740842e-03 -7.6149362000081294e-02)	(-1.7561351656346022e-06 -1.6092798079724556e-04 -6.4684957667940232e-06)
1.4                     	(6.3828197736779349e-02 -7.3746679359483602e-03 -7.5517439843816508e-02)	(6.3830225238014182e-02 -7.2138411331117312e-03 -7.5511185054647906e-02)	(-2.0275012348269978e-06 -1.6082680283662903e-04 -6.2547891686048860e-06)
1.5                     	(6.5577890881845416e-02 -7.3853810932296314e-03 -7.6786082439816453e-02)	(6.5580039912825544e-02 -7.2247366167230310e-03 -7.6780015025589912e-02)	(-2.1490309801250452e-06 -1.6064447650660060e-04 -6.0674142265451354e-06)
1.6                     	(6.3705108016863812e-02 -7.4931535730419973e-03 -7.4856704492179196e-02)	(6.3707009078761825e-02 -7.3332479209978919e-03 -7.4850547640507886e-02)	(-1.9010618980199810e-06 -1.5990565204410519e-04 -6.1568516713035292e-06)
1.7                     	(6.4877614080676146e-02 -7.6586484829157123e-03 -7.5364237516903645e-02)	(6.4879374061216438e-02 -7.5001501766658813e-03 -7.5358114656410569e-02)	(-1.7599805402885894e-06 -1.5849830624983091e-04 -6.1228604930793230e-06)
1.8                     	(6.2492617179776340e-02 -7.6503284886822245e-03 -7.3098722024326990e-02)	(6.2494274389994400e-02 -7.4930093525598885e-03 -7.3092598376962914e-02)	(-1.6572102180602219e-06 -1.5731913612233617e-04 -6.1236473640700500e-06)
1.9                     	(6.2468253251826332e-02 -7.8075764704873957e-03 -7.2772117086559632e-02)	(6.2469652513465874e-02 -7.6515411185299233e-03 -7.2765889377893939e-02)	(-1.3992616395450502e-06 -1.5603535195747215e-04 -6.2277086656943892e-06)
2                       	(6.2171516362975417e-02 -7.8085217229073535e-03 -7.2478533212901791e-02)	(6.2172800497379638e-02 -7.6536318877269372e-03 -7.2472274569041331e-02)	(-1.2841344042231330e-06 -1.5488983518041597e-04 -6.2586438604646035e-06)
2.1                     	(6.2781041937645901e-02 -7.8576064307840209e-03 -7.2819849100529827e-02)	(6.2782222576399399e-02 -7.7034781905760408e-03 -7.2813544952998022e-02)	(-1.1806387534974782e-06 -1.5412824020798050e-04 -6.3041475318024782e-06)
2.2                     	(6.4178063500064830e-02 -7.8974415371230837e-03 -7.4127819775675494e-02)	(6.4179198208626997e-02 -7.7435378282584063e-03 -7.4121456049704576e-02)	(-1.1347085621722355e-06 -1.5390370886467675e-04 -6.3637259709160387e-06)
2.3                     	(6.3168568300285860e-02 -7.9393323431566302e-03 -7.3344260004149939e-02)	(6.3169597284216061e-02 -7.7855220156540566e-03 -7.3337753449223941e-02)	(-1.0289839302050224e-06 -1.5381032750257394e-04 -6.5065549260030170e-06)
2.4                     	(6.4103563418671905e-02 -8.0575210191820724e-03 -7.4215833725992220e-02)	(6.4104705698307243e-02 -7.9035276960534966e-03 -7.4209438860058402e-02)	(-1.1422796353415821e-06 -1.5399332312857663e-04 -6.3948659338212098e-06)
2.5                     	(6.3112231615001860e-02 -7.9241243077376664e-03 -7.3298731803246031e-02)	(6.3113134321918646e-02 -7.7703475554572483e-03 -7.3292002637184078e-02)	(-9.0270691678429824e-07 -1.5377675228041895e-04 -6.7291660619482342e-06)
2.6                     	(6.2418689782235984e-02 -8.2460875201776050e-03 -7.2784511941050484e-02)	(6.2419995063433875e-02 -8.0919295902034550e-03 -7.2778270304095949e-02)	(-1.3052811978893705e-06 -1.5415792997414948e-04 -6.2416369545320533e-06)
