# Trim_Forces           
# Time                  	total_x                 	total_y                 	total_z                 
5.9880239859921858e-05	+4.567241061836280e-16	-2.992341450622255e-17	+2.168687166319230e-16
1.319100992986932e-04	+9.944532646208273e-15	-4.801929998430475e-17	+1.802884511759359e-16
2.184722834499553e-04	-5.755639992121050e-15	-2.192706566007486e-17	+1.500210469639175e-16
3.225310938432813e-04	-5.575803544656142e-15	-1.668965747185974e-17	+1.247962691558252e-16
4.466012178454548e-04	+3.626468811115258e-15	+1.479600098733514e-17	+1.046678386468211e-16
5.958730471320450e-04	+3.759716851971817e-12	-4.262471139144271e-15	+8.699664510904609e-17
7.733094389550388e-04	-2.904264673129381e-12	-4.579152109554440e-16	+7.318765382189591e-17
9.878836572170258e-04	-1.147386548063458e-12	+2.593636043676950e-18	+6.052055989118321e-17
1.245372695848346e-03	-1.104378289144710e-01	-4.267354952847264e-02	+5.805330154522187e-17
1.558037940412760e-03	-4.457580551032931e-01	-1.972055974479692e-01	+2.875583496184979e-17
1.909786369651556e-03	+1.984730232702322e-01	+3.844985126414181e-02	+4.449372227156471e-17
2.314297016710043e-03	-1.075132240987881e-01	-6.577530767405551e-02	-1.779375642576407e-16
2.766397083178163e-03	-3.582860620341589e-02	-5.345974263858651e-02	+3.399543015676700e-16
3.191903233528137e-03	-2.216169281556538e-03	-5.718262286881102e-02	-3.602219836261283e-16
3.592379624024034e-03	+5.452319243913055e-02	-5.699284519951395e-02	+1.254371025130535e-16
3.948358353227377e-03	+9.568376275009556e-02	-5.959941322339701e-02	+3.417274472325041e-17
4.284560680389404e-03	+1.405231879126016e-01	-6.271359493352821e-02	+6.645017182869377e-17
4.602085333317518e-03	+1.665759889871340e-01	-6.292044660877286e-02	+4.694759974261299e-17
4.901969339698553e-03	+2.006671234030904e-01	-6.158511745703799e-02	+3.221503119780509e-16
5.201853346079588e-03	+2.441944859074190e-01	-5.841978732371296e-02	+3.749504957860827e-17
5.484097171574831e-03	+3.055639788894871e-01	-5.991713361409065e-02	-2.436327993052074e-16
5.749738775193691e-03	+3.888729121507298e-01	-5.974139418797342e-02	+3.940595388599544e-17
6.015379913151264e-03	+3.788157775704441e-01	-5.013789409210449e-02	+3.913378291581845e-16
6.264418829232454e-03	+4.729703985231685e-01	-4.986114702842669e-02	+5.838070486675225e-17
6.513457745313644e-03	+5.230271329079543e-01	-4.792574257266548e-02	-2.996970262972294e-16
6.745893508195877e-03	+6.289678677136052e-01	-3.980860189887275e-02	+4.517239942760547e-16
6.978329736739397e-03	+5.777377560128204e-01	-3.420732712048076e-02	-3.182202134535978e-16
7.194163277745247e-03	+7.642379192955006e-01	-2.843920659359956e-02	-7.884078542692775e-17
7.409996818751097e-03	+7.279521007520880e-01	-2.086555929925149e-02	+6.292156473426250e-16
7.625830825418234e-03	+7.904568768358988e-01	-1.342028946814701e-02	-3.185344630913064e-16
7.841664366424084e-03	+9.100139376167486e-01	-2.673943046865267e-03	+8.009166591632071e-17
8.037876337766647e-03	+9.823876598981016e-01	+1.056331215641526e-03	+4.993965885593433e-16
8.234089240431786e-03	+1.000912649384714e+00	+1.798713668559580e-02	-3.757525891198870e-16
8.430301211774349e-03	+1.159331746979450e+00	+2.942580375054242e-02	+5.250208308036089e-16
8.626513183116913e-03	+1.286431911445090e+00	+5.390733443250326e-02	+5.337489715910830e-17
8.822726085782051e-03	+1.201867530413320e+00	+7.124362709813337e-02	+9.221886517732299e-17
9.018938057124615e-03	+1.213280572828676e+00	+9.263207007560431e-02	+7.499449312969278e-17
9.215150959789753e-03	+1.550512760121832e+00	+1.121022298369770e-01	+7.049784150518306e-17
9.411362931132317e-03	+1.371180368075593e+00	+1.275005175730571e-01	-3.776076362938468e-16
9.607574902474880e-03	+1.667799600622596e+00	+1.628585493728428e-01	+5.024266079085489e-16
9.803787805140018e-03	+1.691971518630768e+00	+1.775936250344302e-01	-3.708813295449554e-16
9.999999776482582e-03	+1.708488116873883e+00	+2.116752252737583e-01	+5.297509625586794e-16
1.016393397003412e-02	+1.946872392157013e+00	+2.365280985772847e-01	-4.491392178034462e-16
1.032258104532957e-02	+1.898146534153290e+00	+2.572680410483513e-01	+1.159191913192801e-16
1.047866791486740e-02	+2.006166851334348e+00	+2.833136607268812e-01	+1.137163787909798e-16
1.062980014830828e-02	+2.060153971726954e+00	+3.145999792559299e-01	+6.769855721165648e-16
1.077853329479694e-02	+2.235642530000341e+00	+3.436792231966312e-01	-5.072149397029293e-16
1.092490646988153e-02	-1.685580344091503e+01	+1.639691328176708e+00	+1.053947709540654e-15
1.109942700713873e-02	+7.941410762886152e+00	-8.412910229790117e-01	+1.042197715017386e-16
1.130641717463732e-02	+3.391641239213781e-01	+8.482767671704970e-02	-6.167932642303177e-16
1.154790539294481e-02	+4.468656624424794e-01	+1.223008426699948e-01	+7.167756170964975e-17
1.182055380195379e-02	+5.808057022204443e-01	+9.839388902623820e-02	+3.841562641258880e-16
1.212349627166986e-02	+5.667618769198822e-01	+9.716749965868846e-02	-2.566099754275678e-16
1.246595289558172e-02	+2.733873570095249e-01	+6.168885026518269e-02	+4.446825617706649e-16
1.279352046549320e-02	+3.290760834847791e-01	+7.204080605520102e-02	-1.322439559707747e-16
1.312108710408211e-02	+4.570860238767240e-01	+9.186835929445530e-02	+2.297288354935439e-17
1.344865467399359e-02	+5.393174708611032e-01	+1.065920430567344e-01	-2.329155792537718e-16
1.377622224390507e-02	+5.495137329892513e-01	+1.153648714546844e-01	+3.282369896803923e-16
1.410378888249397e-02	+6.055910589217856e-01	+1.226257599761217e-01	+4.075155310251140e-17
1.441411580890417e-02	+4.308992106573461e-01	+1.054626327328708e-01	-2.294297570284124e-16
1.472444273531437e-02	+5.330825563694834e-01	+1.184016951611490e-01	+3.362367457243569e-16
1.503476966172457e-02	+3.869269245703242e-01	+1.067534426368475e-01	+3.356218886428193e-17
1.534509658813477e-02	+4.858246031111197e-01	+1.213370713392898e-01	+4.882147457397144e-17
1.565542444586754e-02	+5.005699690433859e-01	+1.267870397374810e-01	-2.278181237456090e-16
1.596575044095516e-02	+5.284021644137976e-01	+1.351749095980530e-01	+5.496267957097492e-17
1.627607829868793e-02	+5.997104148900817e-01	+1.516001890873982e-01	+6.394843512257585e-16
