# Trim_Forces           
# Time                  	total_x                 	total_y                 	total_z                 
5.9998801589244977e-05	-4.107600120403443e-17	-7.697656975383354e-17	+2.839301993145144e-17
1.319990842603147e-04	-3.769030891298386e-17	-6.512979811349664e-17	+2.366028205976225e-17
2.183956967201084e-04	-2.909558176210254e-17	-5.376178772397770e-17	+1.971775360247919e-17
3.220752114430070e-04	-2.467097559747810e-17	-4.446780084025392e-17	+1.643089336231479e-17
4.464906523935497e-04	-1.908417340409419e-17	-3.629315663829995e-17	+1.369241113526233e-17
5.957891698926687e-04	-1.368362054239545e-17	-2.971829257367044e-17	+1.141034261271861e-17
7.749580545350909e-04	-1.097816693333197e-17	-2.421854903796219e-17	+9.508050656370538e-18
9.899376891553402e-04	-8.008039055089849e-18	-1.950668831073568e-17	+7.924227981138653e-18
1.247879816219211e-03	-2.425684622958936e-01	-3.349384098766872e-02	-5.120419705163536e-17
1.557378447614610e-03	-1.041165189285044e+00	-1.464209841160395e-01	+6.444618007719432e-17
1.928822835907340e-03	+2.573300158940424e-01	+3.409990191045038e-02	+1.788936585701080e-18
2.374589443206787e-03	-3.035859512870612e-01	-4.635781571117975e-02	+7.217348417113657e-18
2.909509232267737e-03	-2.297276739724859e-01	-3.687116500618219e-02	+2.199393392112595e-18
3.551550675183535e-03	-2.291218525079420e-01	-3.924914691596593e-02	-1.878329496561934e-17
4.322199150919914e-03	-2.329805093499390e-01	-4.237622354991057e-02	+2.118740063878773e-17
5.203329958021641e-03	-2.534695945270185e-01	-4.777209290402333e-02	+3.792795412379993e-18
6.156200543045998e-03	-2.720108853550700e-01	-5.490468206968652e-02	-1.366306983763892e-17
6.989262998104095e-03	-3.260970210608244e-01	-6.376235975314674e-02	+2.124409005976728e-17
7.740974426269531e-03	-3.433027412183380e-01	-7.601695854578118e-02	+4.390331408307280e-18
8.434376679360867e-03	-4.392480015402893e-01	-9.290940885280363e-02	+3.463928993617003e-18
9.079507552087307e-03	-4.739565443820075e-01	-1.113600628054113e-01	+3.120242232485568e-18
9.686317294836044e-03	-5.176498916820931e-01	-1.324250146142789e-01	+3.572035321868141e-18
1.026007998734713e-02	-5.522154263907730e-01	-1.555318868591991e-01	+5.819650891441078e-18
1.080569159239531e-02	-5.663459607585392e-01	-1.668183544846920e-01	+6.244191903639243e-18
1.133241876959801e-02	+4.861375180610056e+00	+1.737956891939069e+00	+6.192332677077622e-18
1.193859148770571e-02	-3.132924812659044e+00	-1.179365148194635e+00	+1.768121576436243e-18
1.263884734362364e-02	+2.871793320318407e-01	+1.208653308951808e-01	+2.542399171169592e-18
1.346371043473482e-02	-1.656937507545327e-01	-5.880154491809431e-02	-1.629146285835023e-17
1.442151330411434e-02	-1.635219145191006e-01	-6.217542320117470e-02	+1.859050282640662e-17
1.551296189427376e-02	-1.687411935350204e-01	-6.860993429706581e-02	+2.925337750128217e-18
1.673592813313007e-02	-1.701511498384922e-01	-7.418228913162159e-02	-6.934460762292651e-18
1.805045083165169e-02	-1.691158895014247e-01	-7.879972895235271e-02	+1.288725156324205e-17
